time,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,target-POS_X,target-POS_Y,target-POS_Z,target-ROT_X,target-ROT_Y,target-ROT_Z,target-ROT_W
6084.0,0.13620184466244686,-0.6350811187002785,1.723041433461156,-1.0879603207750765,-3.005390808927346,-6.014199267886681e-09,-0.7291055808602752,-0.1731976597101964,-0.07881105833834066,-1.9692146929161054e-11,0.7071067814752645,0.7071067808978305,1.969259662931409e-11
6085.0,0.13596935525692305,-0.6318983290467911,1.7196688115707945,-1.0877704885486246,-3.00562329833287,-6.024621339098175e-09,-0.7304050104087818,-0.17319748375144195,-0.08033052334601636,-1.965927494374473e-11,0.7071067814752742,0.7071067808978208,1.9659503622967184e-11
6086.0,0.13585311055416113,-0.6303069342200475,1.7179825006256138,-1.0876755724353986,-3.0057395430356317,-6.029832374703922e-09,-0.7310528784124278,-0.17319692011273707,-0.08109162324324698,-1.9642573179057275e-11,0.7071067814752783,0.7071067808978166,1.964287406353842e-11
6087.0,0.13573686585139924,-0.6287155393933038,1.7162961896804332,-1.0875806563221726,-3.0058557877383936,-6.0350434103096695e-09,-0.7316995131985992,-0.17319603967901032,-0.08185363208192913,-1.9626013384384795e-11,0.7071067814752822,0.7071067808978129,1.9626313496250205e-11
6088.0,0.13562062114863732,-0.6271241445665602,1.7146098787352524,-1.0874857402089466,-3.0059720324411554,-6.040254445915417e-09,-0.732344913243431,-0.17319484268505547,-0.08261654786856176,-1.960929942838879e-11,0.7071067814752855,0.7071067808978095,1.9609669844623454e-11
6089.0,0.13550437644587543,-0.6255327497398164,1.7129235677900718,-1.0873908240957206,-3.0060882771439177,-6.045465481521163e-09,-0.732989077026213,-0.17319332936678256,-0.0833803686073363,-1.959289638110422e-11,0.7071067814752884,0.7071067808978067,1.9592957154671712e-11
6090.0,0.1353881317431135,-0.6239413549130728,1.711237256844891,-1.0872959079824946,-3.0062045218466795,-6.05067651712691e-09,-0.7336320030293938,-0.1731914999612157,-0.08414509230013976,-1.9576123152570384e-11,0.7071067814752908,0.7071067808978041,1.957625045437137e-11
6091.0,0.1352718870403516,-0.6223499600863291,1.7095509458997102,-1.0872009918692687,-3.0063207665494414,-6.055887552732658e-09,-0.7342736897385844,-0.17318935470649227,-0.08491071694656112,-1.9559263079102396e-11,0.707106781475293,0.707106780897802,1.955946248794323e-11
6092.0,0.1351556423375897,-0.6207585652595854,1.7078646349545297,-1.0871060757560427,-3.0064370112522036,-6.061098588338404e-09,-0.734914135642563,-0.17318689384186142,-0.08567724054389686,-1.954276295420015e-11,0.7071067814752946,0.7071067808978004,1.9542693702329585e-11
6093.0,0.13503939763482778,-0.6191671704328418,1.7061783240093489,-1.0870111596428167,-3.0065532559549655,-6.066309623944151e-09,-0.7355533392332788,-0.17318411760768282,-0.08644466108715412,-1.9525859722606174e-11,0.7071067814752959,0.7071067808977992,1.952586687901318e-11
6094.0,0.1349231529320659,-0.6175757756060981,1.7044920130641683,-1.0869162435295907,-3.0066695006577273,-6.0715206595498985e-09,-0.7361912990058557,-0.17318102624542497,-0.08721297656905815,-1.950909871471728e-11,0.7071067814752965,0.7071067808977984,1.950912567581344e-11
6095.0,0.13480690822930397,-0.6159843807793545,1.7028057021189875,-1.0868213274163647,-3.006785745360489,-6.076731695155646e-09,-0.736828013458597,-0.1731776199976645,-0.0879821849800555,-1.9492201018160928e-11,0.7071067814752969,0.7071067808977981,1.9492277556584846e-11
6096.0,0.13469066352654208,-0.6143929859526107,1.701119391173807,-1.0867264113031387,-3.0069019900632514,-6.081942730761392e-09,-0.7374634810929886,-0.17317389910808423,-0.08875228430832025,-1.947551979195271e-11,0.7071067814752969,0.7071067808977982,1.9475347479144544e-11
6097.0,0.13457441882378016,-0.6128015911258671,1.6994330802286262,-1.0866314951899128,-3.0070182347660133,-6.0871537663671394e-09,-0.7380977004137045,-0.1731698638214721,-0.08952327253975795,-1.9458571326244324e-11,0.7071067814752963,0.7071067808977987,1.945846289137151e-11
6098.0,0.13435424973773483,-0.6097561762063841,1.6961076946910925,-1.0863515245819497,-3.0072384038520585,-6.0972415909316926e-09,-0.7393566513024804,-0.1731696266795827,-0.09097495953511345,-1.942725838663963e-11,0.7071067814753045,0.7071067808977904,1.9427116792713244e-11
6099.0,0.13424416519471216,-0.6082334687466426,1.6944450019223254,-1.0862115392779683,-3.007348488395081,-6.1022855032139696e-09,-0.7399844037385006,-0.17316907053527675,-0.09170200795947892,-1.9411351270684854e-11,0.707106781475308,0.707106780897787,1.9411304213696913e-11
6100.0,0.1341340806516895,-0.6067107612869012,1.6927823091535585,-1.086071553973987,-3.007458572938104,-6.107329415496246e-09,-0.7406110057679258,-0.17316822296174744,-0.09242985730686284,-1.9395555149959452e-11,0.7071067814753111,0.7071067808977839,1.9395538056018573e-11
6101.0,0.13402399610866683,-0.6051880538271597,1.6911196163847917,-1.0859315686700053,-3.0075686574811265,-6.112373327778522e-09,-0.741236456093352,-0.17316708417490262,-0.09315850580383407,-1.937985321619513e-11,0.7071067814753138,0.7071067808977812,1.9379837383254338e-11
6102.0,0.13391391156564417,-0.6036653463674182,1.6894569236160248,-1.0857915833660239,-3.007678742024149,-6.117417240060799e-09,-0.7418607534200656,-0.17316565439156412,-0.09388795167508625,-1.9364061840794962e-11,0.7071067814753162,0.7071067808977789,1.9364038132255413e-11
6103.0,0.1338038270226215,-0.6021426389076766,1.687794230847258,-1.0856515980620425,-3.0077888265671713,-6.122461152343075e-09,-0.7424838964560461,-0.17316393382946738,-0.09461819314344119,-1.9348045981415038e-11,0.7071067814753181,0.7071067808977769,1.9348349637736558e-11
6104.0,0.13369374247959884,-0.6006199314479351,1.6861315380784911,-1.0855116127580609,-3.007898911110194,-6.127505064625352e-09,-0.7431058839119693,-0.17316192270725966,-0.09534922842985252,-1.933220834620332e-11,0.7071067814753197,0.7071067808977753,1.9332556850035398e-11
6105.0,0.13358365793657617,-0.5990972239881937,1.6844688453097243,-1.0853716274540794,-3.0080089956532166,-6.132548976907628e-09,-0.7437267145012114,-0.1731596212444994,-0.0960810557534113,-1.931634868353232e-11,0.7071067814753208,0.7071067808977742,1.93166978338185e-11
6106.0,0.1334735733935535,-0.5975745165284522,1.6828061525409572,-1.085231642150098,-3.008119080196239,-6.137592889189905e-09,-0.7443463869398512,-0.17315702966165492,-0.09681367333134903,-1.9300279102032648e-11,0.7071067814753216,0.7071067808977735,1.930065238398628e-11
6107.0,0.13336348885053084,-0.5960518090687107,1.6811434597721904,-1.0850916568461164,-3.008229164739262,-6.142636801472182e-09,-0.744964899946673,-0.1731541481801035,-0.09754707937904225,-1.9284382140989265e-11,0.7071067814753219,0.707106780897773,1.9284760561048005e-11
6108.0,0.13325340430750818,-0.5945291016089692,1.6794807670034235,-1.084951671542135,-3.0083392492822845,-6.147680713754458e-09,-0.7455822522431709,-0.17315097702213,-0.09828127211001643,-1.926841654570781e-11,0.7071067814753219,0.7071067808977731,1.9268846453539935e-11
6109.0,0.1330511439488687,-0.5957040050803559,1.6773170250532172,-1.0816130261300014,-3.008541509640924,-6.15714007990102e-09,-0.7469095604846314,-0.1731706380174945,-0.09679081270053383,-1.9239508962469637e-11,0.7071067814753299,0.7071067808977652,1.9240044329972362e-11
6110.0,0.13295001376954896,-0.5962914568160493,1.6762351540781142,-1.0799437034239348,-3.008642639820244,-6.1618697629743005e-09,-0.7475718560455635,-0.1731800876182385,-0.09604364844871498,-1.922521449521317e-11,0.7071067814753332,0.7071067808977617,1.9225423524285676e-11
6111.0,0.13284888359022923,-0.5968789085517426,1.6751532831030111,-1.0782743807178679,-3.0087437699995636,-6.166599446047582e-09,-0.7482332428110479,-0.17318928325285549,-0.0952951963050613,-1.9210821176537474e-11,0.7071067814753365,0.7071067808977586,1.9211090790723053e-11
6112.0,0.1327477534109095,-0.5974663602874359,1.674071412127908,-1.0766050580118012,-3.0088449001788833,-6.171329129120862e-09,-0.7488937184669836,-0.17319822489673076,-0.09454545762908342,-1.919629701734121e-11,0.7071067814753393,0.7071067808977558,1.919666195963759e-11
6113.0,0.13264662323158974,-0.5980538120231293,1.6729895411528048,-1.0749357353057343,-3.008946030358203,-6.1760588121941435e-09,-0.7495532807013464,-0.1732069125264591,-0.09379443378416717,-1.9181723140141047e-11,0.7071067814753417,0.7071067808977534,1.9182110248686098e-11
6114.0,0.13254549305227,-0.5986412637588228,1.6719076701777018,-1.0732664125996676,-3.0090471605375226,-6.180788495267424e-09,-0.7502119272041964,-0.17321534611984396,-0.09304212613757044,-1.916711596799798e-11,0.7071067814753439,0.7071067808977511,1.9167575282674472e-11
6115.0,0.13244436287295028,-0.5992287154945161,1.6708257992025988,-1.071597089893601,-3.0091482907168428,-6.185518178340704e-09,-0.7508696556676836,-0.1732235256558976,-0.09228853606041876,-1.9152734928760965e-11,0.7071067814753456,0.7071067808977495,1.9152879934916817e-11
6116.0,0.13234323269363052,-0.5998161672302094,1.6697439282274955,-1.069927767187534,-3.0092494208961624,-6.190247861413986e-09,-0.7515264637860558,-0.17323145111484095,-0.09153366492770137,-1.9138173998810757e-11,0.7071067814753469,0.707106780897748,1.9138388455625193e-11
6117.0,0.1322421025143108,-0.6004036189659028,1.6686620572523925,-1.0682584444814673,-3.009350551075482,-6.194977544487266e-09,-0.7521823492556649,-0.1732391224781029,-0.0907775141182684,-1.9123512822999395e-11,0.7071067814753481,0.707106780897747,1.912377878237419e-11
6118.0,0.13214097233499106,-0.6009910707015962,1.6675801862772894,-1.0665891217754004,-3.009451681254802,-6.199707227560547e-09,-0.7528373097749733,-0.17324653972832088,-0.09002008501482726,-1.910892071943006e-11,0.7071067814753488,0.7071067808977461,1.9109201022102137e-11
6119.0,0.13203984215567133,-0.6015785224372895,1.6664983153021864,-1.0649197990693338,-3.009552811434122,-6.204436910633828e-09,-0.753491343044562,-0.17325370284933966,-0.0892613790039388,-1.9094437372107678e-11,0.7071067814753492,0.7071067808977458,1.9094410138567782e-11
6120.0,0.13193871197635157,-0.6021659741729828,1.6654164443270831,-1.0632504763632669,-3.0096539416134416,-6.209166593707109e-09,-0.7541444467671362,-0.1732606118262121,-0.08850139747601381,-1.907977275348831e-11,0.7071067814753493,0.7071067808977457,1.9079822281586747e-11
6121.0,0.13183758179703184,-0.6027534259086762,1.66433457335198,-1.0615811536572002,-3.0097550717927612,-6.2138962767803895e-09,-0.7547966186475321,-0.17326726664519804,-0.08774014182530858,-1.906499847975883e-11,0.707106781475349,0.7071067808977459,1.906510799352862e-11
6122.0,0.13171232666870827,-0.6051115030660291,1.6632963452699763,-1.0581848484237952,-3.0098803269210848,-6.21984811513803e-09,-0.7556982295737246,-0.173287762900522,-0.08560185693293566,-1.904707651422777e-11,0.7071067814753527,0.7071067808977425,1.9047233082477013e-11
6123.0,0.1316496991045465,-0.6062905416447055,1.6627772312289741,-1.0564866958070929,-3.0099429544852465,-6.22282403431685e-09,-0.7561467982338602,-0.17329763086083688,-0.08453128198290838,-1.9038036319560024e-11,0.7071067814753543,0.7071067808977408,1.903814499077753e-11
6124.0,0.1315870715403847,-0.6074695802233819,1.6622581171879722,-1.0547885431903903,-3.0100055820494083,-6.22579995349567e-09,-0.7565938731625641,-0.17330724542292297,-0.08345975496414038,-1.9029074580906096e-11,0.7071067814753557,0.7071067808977394,1.9029306955732106e-11
6125.0,0.13152444397622293,-0.6086486188020584,1.6617390031469703,-1.053090390573688,-3.01006820961357,-6.22877587267449e-09,-0.7570394524668128,-0.17331660662291248,-0.08238727808133371,-1.9019992030582623e-11,0.707106781475357,0.707106780897738,1.9020226830415477e-11
6126.0,0.13146181641206114,-0.6098276573807349,1.6612198891059684,-1.0513922379569853,-3.0101308371777313,-6.23175179185331e-09,-0.7574835342568493,-0.1733257144978414,-0.08131385354265679,-1.901089245964757e-11,0.7071067814753581,0.7071067808977368,1.9011477647959257e-11
6127.0,0.13139918884789936,-0.6110066959594114,1.6607007750649665,-1.049694085340283,-3.010193464741893,-6.23472771103213e-09,-0.757926116646186,-0.1733345690856492,-0.08023948355973513,-1.9001842096873415e-11,0.7071067814753592,0.7071067808977357,1.9002412672680585e-11
