time,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,target-POS_X,target-POS_Y,target-POS_Z
1241.0,-1.2364908271947133,-2.7437953630391694,-2.1845051208236534,2.0681593522524993,1.2487233604385974,3.050317910175267,-0.005130137161146189,1.0019594777622909,0.11378525087059846
1242.0,-1.2363640300645364,-2.7428968086512007,-2.185715652415404,2.0666414324456563,1.248442114328498,3.050864078525737,-0.00513013996913079,1.0019088044782767,0.11397142897498719
1243.0,-1.236237953115569,-2.7419961284408694,-2.186924539160537,2.065119348054203,1.2481624515449394,3.051411261065779,-0.005130142772326995,1.0018584578470189,0.1141576956789028
1244.0,-1.2361125985070875,-2.741093316070537,-2.1881317748051883,2.063593087926322,1.2478843770975974,3.0519594529713943,-0.005130145570726178,1.0018084380234273,0.11434405040922777
1245.0,-1.2359879683890151,-2.7401883651999426,-2.1893373530662097,2.0620626408978735,1.2476078959756876,3.0525086493857057,-0.00513014836431973,1.0017587451614063,0.11453049259257372
1246.0,-1.2358640649018324,-2.7392812694864914,-2.190541267631098,2.060527995792595,1.247333013147748,3.053058845419032,-0.005130151153099054,1.0017093794138539,0.11471702165528319
1247.0,-1.2357408901764912,-2.7383720225855397,-2.1917435121579194,2.0589891414222863,1.2470597335614206,3.0536100361489638,-0.00513015393705557,1.001660340932662,0.11490363702343143
1248.0,-1.2356184463343292,-2.7374606181506893,-2.192944080275245,2.0574460665870147,1.246788062143234,3.054162216620441,-0.005130156716180712,1.0016116298687154,0.11509033812282808
1249.0,-1.235496735486982,-2.7365470498340847,-2.1941429655820737,2.0558987600753142,1.2465180037983867,3.054715381845835,-0.00513015949046593,1.0015632463718915,0.11527712437901907
1250.0,-1.2353757597362978,-2.735631311286712,-2.195340161647772,2.054347210664392,1.2462495634105308,3.0552695268050303,-0.005130162259902687,1.0015151905910598,0.11546399521728826
1251.0,-1.2352555211742517,-2.7347133961587082,-2.1965356620120025,2.05279140712034,1.2459827458415542,3.0558246464455108,-0.005130165024482461,1.0014674626740812,0.11565095006265927
1252.0,-1.2351360218828598,-2.733793298099665,-2.1977294601846595,2.051231338198346,1.2457175559313671,3.056380735682447,-0.005130167784196747,1.0014200627678083,0.11583798833989728
1253.0,-1.2350172639340924,-2.732871010758949,-2.198921549645806,2.049666992642914,1.2454539984976831,3.056937789398783,-0.005130170539037054,1.0013729910180842,0.11602510947351073
1254.0,-1.2348992493897915,-2.7319465277860173,-2.2001119238456073,2.048098359188083,1.2451920783358077,3.057495802445333,-0.005130173288994904,1.0013262475697422,0.1162123128877531
1255.0,-1.234781980301583,-2.731019842830739,-2.2013005762042726,2.046525426557656,1.2449318002184218,3.058054769640872,-0.005130176034061838,1.001279832566606,0.11639959800662476
1256.0,-1.2346654587107935,-2.7300909495437247,-2.2024875001119932,2.044948183465427,1.244673168895367,3.058614685772234,-0.005130178774229408,1.0012337461514877,0.11658696425387463
1257.0,-1.234549686648365,-2.7291598415766583,-2.203672688928884,2.043366618615418,1.2444161890934324,3.059175545594409,-0.005130181509489184,1.0011879884661894,0.11677441105300206
1258.0,-1.2344346661347718,-2.728226512582631,-2.204856135984924,2.041780720702114,1.2441608655161436,3.059737343830646,-0.005130184239832749,1.0011425596515013,0.1169619378272585
1259.0,-1.234320399179935,-2.7272909562164847,-2.206037834579902,2.040190478410707,1.2439072028435463,3.0603000751725533,-0.0051301869652517025,1.0010974598472016,0.11714954399964936
1260.0,-1.2342068877831398,-2.7263531661351554,-2.2072177779833604,2.038595880417343,1.243655205731997,3.060863734280209,-0.005130189685737659,1.0010526891920561,0.11733722899293576
1261.0,-1.2340941339329514,-2.725413135998026,-2.2083959594345415,2.0369969153893726,1.2434048788139498,3.061428315782263,-0.005130192401282248,1.0010082478238187,0.11752499222963629
1262.0,-1.2339821396071329,-2.7244708594672757,-2.209572372142338,2.0353935719856073,1.2431562266977474,3.06199381427605,-0.005130195111877114,1.000964135879229,0.11771283313202877
1263.0,-1.2338709067725608,-2.723526330208246,-2.210747009285238,2.033785838856579,1.242909253967408,3.0625602243277026,-0.005130197817513916,1.0009203534940136,0.11790075112215209
1264.0,-1.2337604373851434,-2.7225795418898002,-2.2119198640112807,2.032173704644804,1.2426639651824172,3.0631275404722635,-0.005130200518184331,1.000876900802885,0.11808874562180793
1265.0,-1.233650733389739,-2.721630488184692,-2.2130909294380054,2.0305571579850534,1.2424203648775194,3.063695757213805,-0.005130203213880048,1.0008337779395413,0.11827681605256256
1266.0,-1.2335417967200728,-2.720679162769942,-2.2142601986524055,2.028936187504624,1.2421784575625074,3.0642648690255454,-0.005130205904592773,1.0007909850366659,0.11846496183574863
1267.0,-1.2334336292986556,-2.7197255593272147,-2.2154276647108877,2.0273107818236227,1.2419382477220162,3.064834870349972,-0.005130208590314227,1.0007485222259265,0.11865318239246694
1268.0,-1.2333262330367032,-2.7187696715431997,-2.2165933206392263,2.0256809295552434,1.2416997398153153,3.065405755598965,-0.005130211271036146,1.0007063896379755,0.11884147714358823
1269.0,-1.233219609834054,-2.717811493110003,-2.2177571594325203,2.024046619306056,1.2414629382761013,3.065977519153922,-0.005130213946750283,1.0006645874024493,0.11902984550975493
1270.0,-1.23311376157909,-2.716851017725537,-2.2189191740551584,2.022407839676304,1.2412278475122938,3.066550155365887,-0.005130216617448404,1.000623115647968,0.11921828691138298
1271.0,-1.2330086901486546,-2.715888239093921,-2.2200793574407793,2.0207645792601965,1.2409944719058295,3.0671236585556825,-0.005130219283122291,1.0005819745021338,0.11940680076866361
1272.0,-1.2329043974079736,-2.714923150925883,-2.2212377024922336,2.0191168266462163,1.2407628158124568,3.0676980230140387,-0.005130221943763745,1.0005411640915332,0.11959538650156507
1273.0,-1.2328008852105767,-2.713955746939166,-2.222394202081551,2.0174645704174203,1.2405328835615352,3.0682732430017317,-0.005130224599364577,1.0005006845417341,0.11978404352983454
1274.0,-1.232698155398216,-2.7129860208589425,-2.2235488490499082,2.0158077991517604,1.24030467945583,3.0688493127497183,-0.005130227249916616,1.0004605359772867,0.11997277127299974
1275.0,-1.2325962098007872,-2.7120139664182323,-2.2247016362075978,2.0141465014223963,1.24007820777131,3.0694262264592775,-0.005130229895411708,1.0004207185217224,0.12016156915037088
1276.0,-1.232495050236254,-2.7110395773583247,-2.225852556333999,2.01248066579802,1.2398534727569497,3.070003978302152,-0.005130232535841713,1.0003812322975545,0.12035043658104236
1277.0,-1.232394678510566,-2.7100628474292083,-2.227001602177549,2.010810280843185,1.2396304786345254,3.0705825624206895,-0.005130235171198506,1.0003420774262766,0.12053937298389453
1278.0,-1.2322950964175836,-2.7090837703900013,-2.2281487664557207,2.0091353351186387,1.2394092295984183,3.0711619729279933,-0.0051302378014739785,1.000303254028363,0.1207283777775956
1279.0,-1.2321963057389993,-2.7081023400093924,-2.2292940418549954,2.007455817181662,1.2391897298154138,3.071742203908067,-0.0051302404266600375,1.000264762223268,0.12091745038060328
1280.0,-1.2320983082442614,-2.7071185500660837,-2.2304374210308455,2.0057717155864156,1.2389719834245065,3.0723232494159665,-0.005130243046748606,1.000226602129426,0.12110659021116665
1281.0,-1.2320011056904967,-2.706132394349239,-2.231578896607711,2.0040830188842857,1.2387559945367008,3.072905103477955,-0.005130245661731622,1.0001887738642499,0.12129579668732801
